,geometry,name
0,POINT (103.6267 1.307992),TUAS
0,POINT (103.63226 1.30884),TUAS
0,POINT (103.6376 1.300256),TUAS
0,POINT (103.63767 1.30045),TUAS
0,POINT (103.64233 1.3272),TUAS
0,POINT (103.64262 1.31503),TUAS
0,POINT (103.652616666667 1.3172154),TUAS
0,POINT (103.66998 1.32412),PIONEER
0,POINT (103.67939 1.32625),PIONEER
0,POINT (103.68554 1.34106),JURONG WEST
0,POINT (103.6856 1.340405),JURONG WEST
0,POINT (103.688642833333 1.340839),JURONG WEST
0,POINT (103.689112833333 1.342593),JURONG WEST
0,POINT (103.69163 1.34406),JURONG WEST
0,POINT (103.6931 1.345999),JURONG WEST
0,POINT (103.6936 1.344527),JURONG WEST
0,POINT (103.69386 1.34267),JURONG WEST
0,POINT (103.6939 1.344551),JURONG WEST
0,POINT (103.694 1.36935),WESTERN WATER CATCHMENT
0,POINT (103.694041833333 1.34023216666667),JURONG WEST
0,POINT (103.69427 1.33496),JURONG WEST
0,POINT (103.69448 1.34395),JURONG WEST
0,POINT (103.6949 1.339654),JURONG WEST
0,POINT (103.694952333333 1.346155),JURONG WEST
0,POINT (103.6959465 1.34455316666667),JURONG WEST
0,POINT (103.696101833333 1.34533483333333),JURONG WEST
0,POINT (103.696348666667 1.337731),JURONG WEST
0,POINT (103.69679 1.35138),JURONG WEST
0,POINT (103.69686 1.3412),JURONG WEST
0,POINT (103.6969 1.343948),JURONG WEST
0,POINT (103.69707 1.33207),JURONG WEST
0,POINT (103.697182666667 1.33966516666667),JURONG WEST
0,POINT (103.6972442 1.34316185),JURONG WEST
0,POINT (103.697827166667 1.33945583333333),JURONG WEST
0,POINT (103.697930666667 1.34119483333333),JURONG WEST
0,POINT (103.6980042 1.33504375),JURONG WEST
0,POINT (103.69861 1.32278),BOON LAY
0,POINT (103.69997 1.34669),JURONG WEST
0,POINT (103.700030166667 1.340902),JURONG WEST
0,POINT (103.700816833333 1.34574433333333),JURONG WEST
0,POINT (103.7009 1.34068),JURONG WEST
0,POINT (103.70112 1.37188),WESTERN WATER CATCHMENT
0,POINT (103.701768166667 1.3343245),JURONG WEST
0,POINT (103.701995833333 1.34150366666667),JURONG WEST
0,POINT (103.702665 1.337457),JURONG WEST
0,POINT (103.703 1.33992),JURONG WEST
0,POINT (103.703300666667 1.34456466666667),JURONG WEST
0,POINT (103.70338 1.34637),JURONG WEST
0,POINT (103.703495333333 1.3461865),JURONG WEST
0,POINT (103.703799833333 1.3398955),JURONG WEST
0,POINT (103.7040615 1.33976233333333),JURONG WEST
0,POINT (103.7042285 1.33917983333333),JURONG WEST
0,POINT (103.704306833333 1.3526215),JURONG WEST
0,POINT (103.70434 1.33986),JURONG WEST
0,POINT (103.7044 1.34352),JURONG WEST
0,POINT (103.70468 1.34128),JURONG WEST
0,POINT (103.70488 1.34707),JURONG WEST
0,POINT (103.70495 1.34),JURONG WEST
0,POINT (103.70495 1.34325),JURONG WEST
0,POINT (103.70503 1.35345),JURONG WEST
0,POINT (103.705404833333 1.33683216666667),JURONG WEST
0,POINT (103.70551 1.33622),JURONG WEST
0,POINT (103.705869166667 1.345735),JURONG WEST
0,POINT (103.70597 1.33666),JURONG WEST
0,POINT (103.70657 1.34066),JURONG WEST
0,POINT (103.70694 1.33897),JURONG WEST
0,POINT (103.70696 1.34457),JURONG WEST
0,POINT (103.708581 1.34776783333333),JURONG WEST
0,POINT (103.7088 1.34016),JURONG WEST
0,POINT (103.708829666667 1.346727),JURONG WEST
0,POINT (103.70913 1.34039),JURONG WEST
0,POINT (103.7097 1.34053),JURONG WEST
0,POINT (103.71003 1.33267),JURONG WEST
0,POINT (103.710249166667 1.346317),JURONG WEST
0,POINT (103.71045 1.34744),JURONG WEST
0,POINT (103.710670666667 1.34606883333333),JURONG WEST
0,POINT (103.71073 1.34826),JURONG WEST
0,POINT (103.71077 1.34589),JURONG WEST
0,POINT (103.7111945 1.346326),JURONG WEST
0,POINT (103.7114 1.34627),JURONG WEST
0,POINT (103.711519666667 1.34407),JURONG WEST
0,POINT (103.71182 1.30499),JURONG EAST
0,POINT (103.71195 1.34953),JURONG WEST
0,POINT (103.71291 1.35005),JURONG WEST
0,POINT (103.71361 1.34471),JURONG WEST
0,POINT (103.714 1.34497),JURONG WEST
0,POINT (103.7142 1.27446),WESTERN ISLANDS
0,POINT (103.71424 1.34518),JURONG WEST
0,POINT (103.7145 1.34875),JURONG WEST
0,POINT (103.71458 1.34869),JURONG WEST
0,POINT (103.71493 1.34553),JURONG WEST
0,POINT (103.715 1.34943),JURONG WEST
0,POINT (103.7153495 1.34344333333333),JURONG WEST
0,POINT (103.71591 1.34609),JURONG WEST
0,POINT (103.71627 1.35016),JURONG WEST
0,POINT (103.71664 1.33685),JURONG WEST
0,POINT (103.717426666667 1.348244),JURONG WEST
0,POINT (103.71807 1.32733),BOON LAY
0,POINT (103.71867 1.34901),JURONG WEST
0,POINT (103.71893 1.35089),JURONG WEST
0,POINT (103.71902 1.42041),LIM CHU KANG
0,POINT (103.71934 1.33856),JURONG WEST
0,POINT (103.71969 1.3496),JURONG WEST
0,POINT (103.7197 1.35096),JURONG WEST
0,POINT (103.71996 1.32712),JURONG WEST
0,POINT (103.720028666667 1.34902833333333),JURONG WEST
0,POINT (103.7204 1.340347),JURONG WEST
0,POINT (103.7205 1.34483),JURONG WEST
0,POINT (103.72055 1.34473),JURONG WEST
0,POINT (103.721056666667 1.35109083333333),JURONG WEST
0,POINT (103.72176 1.34506),JURONG WEST
0,POINT (103.722272166667 1.349258),JURONG WEST
0,POINT (103.7227 1.353574),JURONG WEST
0,POINT (103.72278 1.32664),JURONG WEST
0,POINT (103.72285 1.32656),JURONG WEST
0,POINT (103.723078166667 1.33324866666667),JURONG WEST
0,POINT (103.723518833333 1.32683133333333),JURONG WEST
0,POINT (103.723523166667 1.32595016666667),JURONG WEST
0,POINT (103.723704666667 1.34886533333333),JURONG WEST
0,POINT (103.7238 1.35082),JURONG WEST
0,POINT (103.724106333333 1.33744366666667),JURONG WEST
0,POINT (103.72457 1.3265),JURONG WEST
0,POINT (103.72469 1.34682),JURONG WEST
0,POINT (103.7249825 1.34928816666667),JURONG WEST
0,POINT (103.7251 1.3267),JURONG WEST
0,POINT (103.72538 1.37267),WESTERN WATER CATCHMENT
0,POINT (103.725573833333 1.33636016666667),JURONG EAST
0,POINT (103.726 1.34733),JURONG WEST
0,POINT (103.7262 1.351657),JURONG WEST
0,POINT (103.7267 1.34938),JURONG WEST
0,POINT (103.72683 1.34949),JURONG WEST
0,POINT (103.7274 1.32103),JURONG EAST
0,POINT (103.72855 1.32535),JURONG EAST
0,POINT (103.72877 1.37543),WESTERN WATER CATCHMENT
0,POINT (103.72966 1.34735),JURONG EAST
0,POINT (103.729935 1.35008983333333),JURONG EAST
0,POINT (103.729945833333 1.35029),JURONG EAST
0,POINT (103.73041 1.34411),JURONG EAST
0,POINT (103.73099 1.34386),JURONG EAST
0,POINT (103.731297666667 1.35045116666667),JURONG EAST
0,POINT (103.73154 1.34778),JURONG EAST
0,POINT (103.73155 1.34734),JURONG EAST
0,POINT (103.73165 1.35137),JURONG EAST
0,POINT (103.73192 1.34338),JURONG EAST
0,POINT (103.7326 1.34531),JURONG EAST
0,POINT (103.73264 1.3071),JURONG EAST
0,POINT (103.73275 1.34496),JURONG EAST
0,POINT (103.73306 1.34253),JURONG EAST
0,POINT (103.7333 1.34462),JURONG EAST
0,POINT (103.73366 1.34478),JURONG EAST
0,POINT (103.73413 1.38076),WESTERN WATER CATCHMENT
0,POINT (103.73416 1.3268),JURONG EAST
0,POINT (103.73416 1.33941),JURONG EAST
0,POINT (103.73437 1.34429),JURONG EAST
0,POINT (103.734503 1.33943833333333),JURONG EAST
0,POINT (103.735304333333 1.33896166666667),JURONG EAST
0,POINT (103.735309166667 1.33821833333333),JURONG EAST
0,POINT (103.7355217 1.34569316666667),JURONG EAST
0,POINT (103.73555 1.34365),JURONG EAST
0,POINT (103.73563 1.34198),JURONG EAST
0,POINT (103.73573 1.34357),JURONG EAST
0,POINT (103.73593 1.34242),JURONG EAST
0,POINT (103.73593 1.34349),JURONG EAST
0,POINT (103.73601 1.34311),JURONG EAST
0,POINT (103.7363 1.37851),CHOA CHU KANG
0,POINT (103.73653 1.37867),CHOA CHU KANG
0,POINT (103.73664 1.32149),JURONG EAST
0,POINT (103.73667 1.37732),CHOA CHU KANG
0,POINT (103.7367 1.38262),WESTERN WATER CATCHMENT
0,POINT (103.736886333333 1.37893683333333),CHOA CHU KANG
0,POINT (103.737072833333 1.38136883333333),CHOA CHU KANG
0,POINT (103.73711 1.37712),CHOA CHU KANG
0,POINT (103.73722 1.34231),JURONG EAST
0,POINT (103.73729 1.33616),JURONG EAST
0,POINT (103.737394666667 1.3418905),JURONG EAST
0,POINT (103.737458 1.3223435),JURONG EAST
0,POINT (103.73747 1.3572),BUKIT BATOK
0,POINT (103.7375 1.343875),JURONG EAST
0,POINT (103.73752 1.34628),BUKIT BATOK
0,POINT (103.73756 1.32118),JURONG EAST
0,POINT (103.73764 1.32229),JURONG EAST
0,POINT (103.7377 1.37605),CHOA CHU KANG
0,POINT (103.7379 1.320702),JURONG EAST
0,POINT (103.73813 1.34373),JURONG EAST
0,POINT (103.738149333333 1.35767083333333),BUKIT BATOK
0,POINT (103.738164166667 1.3414675),JURONG EAST
0,POINT (103.73832 1.32171),JURONG EAST
0,POINT (103.73835 1.35799),BUKIT BATOK
0,POINT (103.738608166667 1.37670663333333),CHOA CHU KANG
0,POINT (103.73862 1.34239),JURONG EAST
0,POINT (103.73872 1.34029),JURONG EAST
0,POINT (103.738796833333 1.37553483333333),CHOA CHU KANG
0,POINT (103.738909833333 1.375264),CHOA CHU KANG
0,POINT (103.73892 1.34433),JURONG EAST
0,POINT (103.73895 1.34172),JURONG EAST
0,POINT (103.73903 1.33569),JURONG EAST
0,POINT (103.7392 1.351133),BUKIT BATOK
0,POINT (103.739539 1.33554516666667),JURONG EAST
0,POINT (103.73958 1.37537),CHOA CHU KANG
0,POINT (103.7396 1.349978),BUKIT BATOK
0,POINT (103.7398 1.346563),BUKIT BATOK
0,POINT (103.73998 1.35986),BUKIT BATOK
0,POINT (103.7401 1.344015),JURONG EAST
0,POINT (103.7402 1.37893),CHOA CHU KANG
0,POINT (103.740245516667 1.34572065),BUKIT BATOK
0,POINT (103.7403 1.34138),JURONG EAST
0,POINT (103.740304266667 1.38171376666667),CHOA CHU KANG
0,POINT (103.74045 1.37943),CHOA CHU KANG
0,POINT (103.740537833333 1.3784805),CHOA CHU KANG
0,POINT (103.740576166667 1.33333383333333),JURONG EAST
0,POINT (103.7407 1.33334),JURONG EAST
0,POINT (103.7407 1.346817),BUKIT BATOK
0,POINT (103.74073 1.33334),JURONG EAST
0,POINT (103.74077 1.33392),JURONG EAST
0,POINT (103.74089 1.33264),JURONG EAST
0,POINT (103.74096 1.33319),JURONG EAST
0,POINT (103.7412 1.383659),CHOA CHU KANG
0,POINT (103.741202333333 1.33270166666667),JURONG EAST
0,POINT (103.741324833333 1.346131),BUKIT BATOK
0,POINT (103.741435166667 1.33750916666667),JURONG EAST
0,POINT (103.741530333333 1.35232433333333),BUKIT BATOK
0,POINT (103.741572666667 1.38380233333333),CHOA CHU KANG
0,POINT (103.74172 1.37468),CHOA CHU KANG
0,POINT (103.7421 1.382404),CHOA CHU KANG
0,POINT (103.74211 1.3831),CHOA CHU KANG
0,POINT (103.74216 1.37564),CHOA CHU KANG
0,POINT (103.742169833333 1.3463365),BUKIT BATOK
